Mfr Name,Division,Model,Mfr Model Index,Engine Displacement (liters), Cylinders,Transmission, Gears,City Mileage (mpg),Highway Mileage (mpg),Combined Mileage (mpg),Hybrid or Guzzler?,Air Aspiration Method,Transmission Desc,Drive Wheels,Fuel Usage,Fuel Metering System
FCA US LLC,Dodge,Challenger SRT,737,6.2,8,A,8,13,22,16,Guzzler Tax,Supercharged,Automatic,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
FCA US LLC,Dodge,Challenger SRT,739,6.2,8,M,6,13,21,16,Guzzler Tax,Supercharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
FCA US LLC,Dodge,Challenger SRT,738,6.4,8,A,8,15,25,18,No,Naturally Aspirated,Automatic,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
FCA US LLC,Dodge,Challenger SRT,740,6.4,8,M,6,14,23,17,Guzzler Tax,Naturally Aspirated,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Ford Motor Company,Ford,FOCUS RS AWD,244,2.3,4,M,6,19,25,22,No,Turbocharged,Manual,All Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Ford Motor Company,Ford,Focus ST FWD,236,2,4,M,6,22,30,25,No,Turbocharged,Manual,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Ford Motor Company,Ford,FUSION AWD,7,2,4,A,6,20,29,23,No,Turbocharged,Automatic - Selectable,All Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Ford Motor Company,Ford,FUSION AWD,13,2.7,6,A,6,17,26,20,No,Turbocharged,Automatic - Selectable,All Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Ford Motor Company,Ford,FUSION FWD,9,1.5,4,A,6,23,34,27,No,Turbocharged,Automatic - Selectable,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Ford Motor Company,Ford,FUSION FWD,8,2,4,A,6,21,31,25,No,Turbocharged,Automatic - Selectable,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Ford Motor Company,Ford,FUSION FWD,175,2.5,4,A,6,21,32,25,No,Naturally Aspirated,Automatic,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Ford Motor Company,Ford,FUSION HYBRID FWD,11,2,4,C,0,43,41,42,Hybrid,Naturally Aspirated,Continuously Variable,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Honda,Honda,ACCORD HYBRID,7,2,4,C,0,49,47,48,Hybrid,Naturally Aspirated,Continuously Variable,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Honda,Honda,ACCORD,15,2.4,4,C,0,27,36,30,No,Naturally Aspirated,Continuously Variable,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Honda,Honda,ACCORD,16,2.4,4,A,7,26,34,29,No,Naturally Aspirated,Automatic,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Honda,Honda,ACCORD,14,2.4,4,M,6,23,32,26,No,Naturally Aspirated,Manual,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Honda,Honda,ACCORD,12,3.5,6,A,6,21,33,25,No,Naturally Aspirated,Automatic,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Honda,Honda,ACCORD,13,3.5,6,A,6,21,32,24,No,Naturally Aspirated,Automatic - Selectable,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Honda,Honda,ACCORD,11,3.5,6,M,6,18,28,21,No,Naturally Aspirated,Manual,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Honda,Honda,CIVIC 4Dr,40,1.5,4,C,0,32,42,36,No,Turbocharged,Continuously Variable,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Honda,Honda,CIVIC 4Dr,39,1.5,4,M,6,31,42,35,No,Turbocharged,Manual,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Honda,Honda,CIVIC 4Dr,36,2,4,C,0,31,40,34,No,Naturally Aspirated,Continuously Variable,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Honda,Honda,CIVIC 4Dr,35,2,4,M,6,28,40,32,No,Naturally Aspirated,Manual,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Honda,Honda,CIVIC Si 4Dr,55,1.5,4,M,6,28,38,32,No,Turbocharged,Manual,Front Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Hyundai,Hyundai,Elantra,19,1.4,4,A,7,32,40,35,No,Turbocharged,Automated Manual,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Hyundai,Hyundai,Elantra,50,1.6,4,A,7,26,33,29,No,Turbocharged,Automated Manual,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Hyundai,Hyundai,Elantra,51,1.6,4,M,6,22,30,25,No,Turbocharged,Manual,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Hyundai,Hyundai,Elantra,12,2,4,A,6,28,37,32,No,Naturally Aspirated,Automatic - Selectable,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Hyundai,Hyundai,Elantra,13,2,4,M,6,26,36,29,No,Naturally Aspirated,Manual,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Hyundai,Hyundai,Elantra GT,14,2,4,A,6,24,32,27,No,Naturally Aspirated,Automatic - Selectable,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Hyundai,Hyundai,Elantra GT,15,2,4,M,6,24,32,27,No,Naturally Aspirated,Manual,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Hyundai,Hyundai,Elantra SE,11,2,4,A,6,29,38,33,No,Naturally Aspirated,Automatic - Selectable,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Hyundai,Hyundai,Sonata HYBRID,37,2,4,A,6,38,43,40,Hybrid,Naturally Aspirated,Automated Manual,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Hyundai,Hyundai,Sonata HYBRID SE,36,2,4,A,6,39,45,42,Hybrid,Naturally Aspirated,Automated Manual,Front Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
